Date,Product Name,Model,HSN Code,Quantity,Price,Total
,IR Transmitter LED 5mm - 2 pieces pack,EC-0171,,1,9,9
,PCB Etching Powder - FECL3 - Ferric-Ferrous Chloride - 50 gm pack,EC-0278,,1,65,65
,40 Pin Female Berg Strip - Break Away Header - Straight,EC-0291,,6,9,54
,TSOP1838 - Infrared Sensor,EC-0436,,2,23,46
,DHT11 - Temprature and Humidity Sensor Module,EC-0442,,1,98,98
,LM335 - Temperature Sensor,EC-0566,,1,37.5,37.5
,9V Zinc Chloride Battery,EC-0615,,2,20,40
,40x2 Pin Female Berg Strip - Break Away Header Straight,EC-0654,,1,13.5,13.5
,IR Transmitter LED 3mm - 2 pieces pack,EC-0747,,1,9,9
,2 x 3.7V 18650 Lithium Polymer (Lipo) Battery Holder,EC-0911,,1,65,65
,32 Pin Male Berg Strip - Break Away Header - Staright,EC-2068,,1,15,15
,I2C Module for 16x2 (1602) Character LCD,EC-2114,,1,59,59
,20x2 Pin Male Berg Strip - Break Away Header Straight,EC-2193,,1,10,10
,PL2303 - PL2303HX USB to TTL Serial UART Converter Module,EC-2974,,2,90,180
,Water Level Sensor Float Switch - P43,EC-2979,,2,150,300
,Micro USB Cable,EC-3020,,2,40,80
,1602 (16x2) LCD Display with I2C/IIC interface - Blue Backlight,EC-3025,,1,185,185
,4 Channel 5V Relay Module with Optocoupler,EC-0738,8529,2,155,310
,NODEMCU - ESP8266 Wifi Development Board,EC-1150,8517,2,245,490
,HLK-5M05 Hi-Link 5V 5W - AC to DC Power Supply Module,EC-3194,,2,240,480
,1 Channel 5V Relay Module without Optocoupler,EC-4504,8529,4,68,272
